"country","HeartDiseaseRates_ASR_DALYsPer100k_2021","HeartDiseaseRates_ASR_DeathsPer100k_2021","HeartDiseaseRates_ASR_PrevalencePer100k_2021","HeartDiseaseRates_AllAgesTotalDALYs_2021","HeartDiseaseRates_AllAgesTotalDeaths_2021","HeartDiseaseRates_AllAgesTotalPrevelence_2021","HeartDiseaseRates_AllAges_DALYsPer100k_2021","HeartDiseaseRates_AllAges_DeathsPer100k_2021","HeartDiseaseRates_AllAges_PrevalencePer100k_2021"
"Afghanistan",12610.1,600.2,9765.7,2050000,67800,1640000,5037.8,165.3,4005.3
"Yemen",10670.1,539.9,9777.1,1610000,62300,1640000,4896.2,188.4,4972.6
"Canada",2071,102.1,8134.3,1450000,83300,5310000,3899.4,223.9,14273.8
"Poland",3882.5,220.7,6220.1,2820000,175000,4390000,7352.4,452,11367.3
"Morocco",8288.4,447.3,10393.1,2600000,118000,3480000,7140.1,322.3,9527.6
"Angola",7548.3,375.7,8097.3,952000,34200,1330000,2950.4,105.7,4124.6
"Ukraine",9138.6,503.5,7486.6,6920000,396000,5670000,15931.3,905.2,12964.3
"Uzbekistan",12565.6,798.3,8766.9,2150000,86900,2030000,6184,249.2,5819
"Malaysia",5734.3,274.5,7418.8,1640000,68400,2160000,5108.7,213.1,6719.4
"Mozambique",7963.9,373.8,8645,979000,35400,1370000,3137.7,113.5,4386.5
"Ghana",7718.6,372.4,8070.1,1390000,52600,1630000,4206.1,158.9,4940.3
"Peru",2247.7,101.1,6592,783000,35700,2300000,2234.7,101.8,6552.6
"Saudi Arabia",7454.7,364.6,9996.5,1790000,56900,2200000,4764.3,150.7,5831.3
"Madagascar",9303.4,429,8214.7,1240000,40600,1320000,4412.1,144.5,4687.5
"Ivory Coast",7472.4,355.1,8588,938000,32500,1230000,3436.4,118.8,4484.8
"Nepal",5769.9,283.3,6731,1360000,56800,1630000,4383.5,182.8,5241.5
"Cameroon",7151.7,343.2,8130.4,996000,36000,1310000,3226.2,116.5,4250.1
"Venezuela",4865.4,239.7,5688.5,1490000,70900,1750000,5414.4,256.2,6339.1
"Niger",5948.7,287.3,7794,557000,19400,849000,2212.2,77,3373.9
"Australia",1798.6,97.9,6603.5,789000,49700,2750000,3126.5,196.8,10893.5
"North Korea",7446.7,360,6493.9,2460000,112000,2110000,9319.2,421.9,7959.8
"Syria",9555,504.7,10545,1180000,49800,1390000,8429.2,350.4,9782.6
"Mali",5522.8,260.7,7646.3,577000,20300,887000,2447.9,86.2,3762.8
